k_array Pk[0,:]
2.077335601732642478e-03 2.318615352085262930e+04
2.099487681659232240e-03 2.338993463606543810e+04
2.121875984680765808e-03 2.359508127070253613e+04
2.144503029809034875e-03 2.380159292529593949e+04
2.167371362917814258e-03 2.400946888951334404e+04
2.190483557029308109e-03 2.421870823862078760e+04
2.213842212603651417e-03 2.442930982993787984e+04
2.237449957831507547e-03 2.464127229928407905e+04
2.261309448929764866e-03 2.485459405741714363e+04
2.285423370440410086e-03 2.506927328646659953e+04
2.309794435532574845e-03 2.528530793636104499e+04
2.334425386307804971e-03 2.550269572125174091e+04
2.359318994108597529e-03 2.572143411593402561e+04
2.384478059830201762e-03 2.594152035226519365e+04
2.409905414235771499e-03 2.616295141558405157e+04
2.435603918274864294e-03 2.638572404112977893e+04
2.461576463405337582e-03 2.660983471046304476e+04
2.487825971918690860e-03 2.683527964789023463e+04
2.514355397268849997e-03 2.706205481689235239e+04
2.541167724404485174e-03 2.729015591655960452e+04
2.568265970104858555e-03 2.751957837803341681e+04
2.595653183319252856e-03 2.775031736095604720e+04
2.623332445510033299e-03 2.798236774993163272e+04
2.651306870999342938e-03 2.821572415099669888e+04
2.679579607319518535e-03 2.845038088810543195e+04
2.708153835567230893e-03 2.868633199962798244e+04
2.737032770761404273e-03 2.892357122878789596e+04
2.766219662204964791e-03 2.916209125250241777e+04
2.795717793850404764e-03 2.940188289348850594e+04
2.825530484669314373e-03 2.964293641903608659e+04
2.855661089025785231e-03 2.988524207200404635e+04
2.886112997053832865e-03 3.012879078937343729e+04
2.916889635038852433e-03 3.037357335813204918e+04
2.947994465803091199e-03 3.061958023092680378e+04
2.979430989095308620e-03 3.086680156158483078e+04
3.011202741984516946e-03 3.111522716743469573e+04
3.043313299257964510e-03 3.136484639348920609e+04
3.075766273823364334e-03 3.161564739008745164e+04
3.108565317115365417e-03 3.186761755869214903e+04
3.141714119506436309e-03 3.212074392656116106e+04
3.175216410722049923e-03 3.237501348992101703e+04
3.209075960260346968e-03 3.263041308405936797e+04
3.243296577816271072e-03 3.288692913412124472e+04
3.277882113710181219e-03 3.314454732494655036e+04
3.312836459321111954e-03 3.340325261286843306e+04
3.348163547524578114e-03 3.366302951877918531e+04
3.383867353135090218e-03 3.392386230194194650e+04
3.419951893353396534e-03 3.418573501989497163e+04
3.456421228218436222e-03 3.444863131460694422e+04
3.493279461064203485e-03 3.471253369647006184e+04
3.530530738981393912e-03 3.497742284028440918e+04
3.568179253284026013e-03 3.524327876219048630e+04
3.606229239981040974e-03 3.551008156306144519e+04
3.644684980252874996e-03 3.577781259240135114e+04
3.683550800933207189e-03 3.604645307572452293e+04
3.722831074995749424e-03 3.631598310946239508e+04
3.762530222046285480e-03 3.658637921009007550e+04
3.802652708819957272e-03 3.685761646283070149e+04
3.843203049683794302e-03 3.712967032066767570e+04
3.884185807144701838e-03 3.740252230130320095e+04
3.925605592362766023e-03 3.767615637692858581e+04
3.967467065670091456e-03 3.795055421014589956e+04
4.009774937095174699e-03 3.822567426285037072e+04
4.052533966892807663e-03 3.850145958953491208e+04
4.095748966079728118e-03 3.877785531285091565e+04
4.139424796975891586e-03 3.905487838961621310e+04
4.183566373751563226e-03 3.933261365822791413e+04
4.228178662980255735e-03 3.961114799682152807e+04
4.273266684197491588e-03 3.989044520047152037e+04
