k Pk
7.185990904457754090e-03 5.432004354611560848e+04
7.262620142764036717e-03 5.456958176158418792e+04
7.340066532141274747e-03 5.481691242619588593e+04
7.418338786441869108e-03 5.506194377155033726e+04
7.497445712440113132e-03 5.530458661672071321e+04
7.577396210823112571e-03 5.554476550426091126e+04
7.658199277192162535e-03 5.578240859622177231e+04
7.739864003074987259e-03 5.601744101819059870e+04
7.822399576948590311e-03 5.624976847834615182e+04
7.905815285273117693e-03 5.647928819079699315e+04
7.990120513536759853e-03 5.670589905301675753e+04
8.075324747311658780e-03 5.692952467541125225e+04
8.161437573321298974e-03 5.715010411998858763e+04
8.248468680519052687e-03 5.736757565663113928e+04
8.336427861178368620e-03 5.758185497586157726e+04
8.425325011994579810e-03 5.779283722251163272e+04
8.515170135198327217e-03 5.800041666162881302e+04
8.605973339681084744e-03 5.820449572171579348e+04
8.697744842132459561e-03 5.840498772851971444e+04
8.790494968189760394e-03 5.860180676791748556e+04
8.884234153599776529e-03 5.879486535357848334e+04
8.978972945392942745e-03 5.898407294517742412e+04
9.074722003070070583e-03 5.916933875887437171e+04
9.171492099801644218e-03 5.935056998155986366e+04
9.269294123639996649e-03 5.952766775179507385e+04
9.368139078744361012e-03 5.970053226568255923e+04
9.468038086618999968e-03 5.986906473665218073e+04
9.569002387364562365e-03 6.003317019006459304e+04
9.671043340942717462e-03 6.019275498112237983e+04
9.774172428454342559e-03 6.034772563226741477e+04
9.878401253431307386e-03 6.049798735791228683e+04
9.983741543142040861e-03 6.064344516180015489e+04
1.009020514991104504e-02 6.078400428519154229e+04
1.019780405245241002e-02 6.091956689742834715e+04
1.030655035721762640e-02 6.105003357337704074e+04
1.041645629975772487e-02 6.117530569904173171e+04
1.052753424609995450e-02 6.129528772807447240e+04
1.063979669413917840e-02 6.140988701846564072e+04
1.075325627504400416e-02 6.151901187992111954e+04
1.086792575467802197e-02 6.162256849590898491e+04
1.098381803503613828e-02 6.172046005311766203e+04
1.110094615569622717e-02 6.181259059929611249e+04
1.121932329528631950e-02 6.189886570680104342e+04
1.133896277296732834e-02 6.197919283791832277e+04
1.145987804993168699e-02 6.205348088471437950e+04
1.158208273091792043e-02 6.212164039263177983e+04
1.170559056574137051e-02 6.218358402868618577e+04
1.183041545084129696e-02 6.223922616342909896e+04
1.195657143084435589e-02 6.228848183270128357e+04
1.208407270014487563e-02 6.233126346968027792e+04
1.221293360450192121e-02 6.236748415370855946e+04
1.234316864265339389e-02 6.239705930000115040e+04
1.247479246794739108e-02 6.241990921742574574e+04
1.260781988999086327e-02 6.243595747419787949e+04
1.274226587631594604e-02 6.244512974634599232e+04
1.287814555406402092e-02 6.244735343365434528e+04
1.301547421168773068e-02 6.244255793827179878e+04
1.315426730067119701e-02 6.243067499333823798e+04
1.329454043726847196e-02 6.241163782279322913e+04
1.343630940426063410e-02 6.238538133571805520e+04
1.357959015273158161e-02 6.235184306974427454e+04
1.372439880386274250e-02 6.231096449582004425e+04
1.387075165074699856e-02 6.226269143562724639e+04
1.401866516022181458e-02 6.220697267004896275e+04
1.416815597472205653e-02 6.214376099035304651e+04
1.431924091415249373e-02 6.207301421728701825e+04
1.447193697778026422e-02 6.199469343687205401e+04
1.462626134614760862e-02 6.190876324153923633e+04
1.478223138300484296e-02 6.181519251530756446e+04
1.493986463726408587e-02 6.171395355152430420e+04
1.509917884497376239e-02 6.160502289115564781e+04
1.526019193131414667e-02 6.148838456876136479e+04
1.542292201261427458e-02 6.136402706474059232e+04
1.558738739839020220e-02 6.123194253402557661e+04
1.575360659340514780e-02 6.109212856994666072e+04
1.592159829975155205e-02 6.094458700966429024e+04
1.609138141895530977e-02 6.078932378123848321e+04
1.626297505410248187e-02 6.062635508250753628e+04
1.643639851198871321e-02 6.045570460641138197e+04
1.661167130529144290e-02 6.027739961929216952e+04
1.678881315476543623e-02 6.009147327250699891e+04
1.696784399146162789e-02 5.989796425916234148e+04
1.714878395896965099e-02 5.969691485795416520e+04
1.733165341568435394e-02 5.948837753275688010e+04
1.751647293709630154e-02 5.927241666305428225e+04
1.770326331810690920e-02 5.904910028095247253e+04
1.789204557536814080e-02 5.881850327793828183e+04
1.808284094964717620e-02 5.858071059542417061e+04
1.827567090821637791e-02 5.833581070242961869e+04
1.847055714726857090e-02 5.808389799399884942e+04
1.866752159435825301e-02 5.782507841485954123e+04
1.886658641086873603e-02 5.755946178823185619e+04
1.906777399450562682e-02 5.728716373005372589e+04
1.927110698181695725e-02 5.700831697385715961e+04
1.947660825074002192e-02 5.672305992191060795e+04
1.968430092317554822e-02 5.643153433253186085e+04
1.989420836758923686e-02 5.613389530733932042e+04
2.010635420164103709e-02 5.583030375406671374e+04
2.032076229484255231e-02 5.552092286899149622e+04
2.053745677124259664e-02 5.520593199452919362e+04
2.075646201214158271e-02 5.488551983879725594e+04
2.097780265883474396e-02 5.455987564830279007e+04
2.120150361538463216e-02 5.422919945225745323e+04
2.142759005142327866e-02 5.389370015417180548e+04
2.165608740498399867e-02 5.355358620635670377e+04
2.188702138536364680e-02 5.320907885014295607e+04
2.212041797601525112e-02 5.286041521754562564e+04
2.235630343747153220e-02 5.250783118262831704e+04
2.259470431029966114e-02 5.215156703444332379e+04
2.283564741808735005e-02 5.179187304405446048e+04
2.307915987046096906e-02 5.142899740288781322e+04
2.332526906613576964e-02 5.106319606282078166e+04
2.357400269599860265e-02 5.069475216937427467e+04
2.382538874622365521e-02 5.032394901182835747e+04
2.407945550142116115e-02 4.995106085163171520e+04
2.433623154781992121e-02 4.957634157837925159e+04
2.459574577648365040e-02 4.920003606175764435e+04
2.485802738656163469e-02 4.882240383899957669e+04
2.512310588857413415e-02 4.844382622454864031e+04
2.539101110773262643e-02 4.806472530523000023e+04
2.566177318729567086e-02 4.768547812999113376e+04
2.593542259196043170e-02 4.730610384545554552e+04
2.621199011129038414e-02 4.692641770005840226e+04
2.649150686317969586e-02 4.654625315787197178e+04
2.677400429735429452e-02 4.616569358387916873e+04
2.705951419891050938e-02 4.578502983927533205e+04
2.734806869189135292e-02 4.540455669712294912e+04
2.763970024290090047e-02 4.502474499293920962e+04
2.793444166475739232e-02 4.464628075287933461e+04
2.823232612018495777e-02 4.426984074353912001e+04
2.853338712554505385e-02 4.389594418747620512e+04
2.883765855460748706e-02 4.352484673137032951e+04
2.914517464236170141e-02 4.315676885617894004e+04
2.945596998886882562e-02 4.279194445616801386e+04
2.977007956315450010e-02 4.243065701423421706e+04
3.008753870714353865e-02 4.207318951445939456e+04
3.040838313963637254e-02 4.171980364926131006e+04
3.073264896032791224e-02 4.137070604634354095e+04
3.106037265386941276e-02 4.102608368878397596e+04
3.139159109397334640e-02 4.068611034616453253e+04
3.172634154756234781e-02 4.035091475962899858e+04
3.206466167896228348e-02 4.002060531815118156e+04
3.240658955413999037e-02 3.969528101593137399e+04
3.275216364498636373e-02 3.937498785333071282e+04
3.310142283364485988e-02 3.905974082103354158e+04
3.345440641688640637e-02 3.874955093169891916e+04
3.381115411053082359e-02 3.844439004529093654e+04
3.417170605391545851e-02 3.814419768233073410e+04
3.453610281441140545e-02 3.784891163341406354e+04
3.490438539198805618e-02 3.755841146904766356e+04
3.527659522382600027e-02 3.727250618091156502e+04
3.565277418897946221e-02 3.699100561687901791e+04
3.603296461308824056e-02 3.671376830172923655e+04
3.641720927313997491e-02 3.644073546912859456e+04
3.680555140228326805e-02 3.617185745081571804e+04
3.719803469469188523e-02 3.590689259927472449e+04
3.759470331048110625e-02 3.564508486576235009e+04
3.799560188067634819e-02 3.538561234571159002e+04
3.840077551223478047e-02 3.512810908574946370e+04
3.881026979312065389e-02 3.487400224554127635e+04
3.922413079743441999e-02 3.462513667303021066e+04
3.964240509059684114e-02 3.438279697761801799e+04
4.006513973458830646e-02 3.414500350522767985e+04
4.049238229324388788e-02 3.390856631306318013e+04
4.092418083760518410e-02 3.367062649170126679e+04
4.136058395132874432e-02 3.343091004705585510e+04
4.180164073615261211e-02 3.319060871040161874e+04
4.224740081742094089e-02 3.295084605780678976e+04
4.269791434966753452e-02 3.271177721459220265e+04
4.315323202225915256e-02 3.247275835623834791e+04
4.361340506509851778e-02 3.223313928283675341e+04
4.407848525438862186e-02 3.199229461443768741e+04
4.454852491845826684e-02 3.174973763126156337e+04
4.502357694364970270e-02 3.150511841622369320e+04
4.550369478026932563e-02 3.125810540115648109e+04
4.598893244860131208e-02 3.100837321716857332e+04
4.647934454498590245e-02 3.075550541431701640e+04
4.697498624796223737e-02 3.049902141727509297e+04
4.747591332447668316e-02 3.023845906599636146e+04
